NationalDrugCode,NdcDescription,NumberOfClaims
68180052001,LISINOP/HCTZ TAB 20-25MG,887181
68180052002,LISINOP/HCTZ TAB 20-25MG,827682
68180052706,DONEPEZIL    TAB HCL 23MG,1452
68180052709,DONEPEZIL    TAB HCL 23MG,130
68180053801,DICLOFENAC   SOL 1.5%,18
68180055409,QUINAPRIL    TAB 40MG,27680
68180055609,QUINAPRIL    TAB 5MG,26521
68180055709,QUINAPRIL    TAB 10MG,112161
68180055809,QUINAPRIL    TAB 20MG,217710
68180055909,QUINAPRIL    TAB 40MG,273312
68180056006,QUININE SULF CAP 324MG,182
68180056601,TRANDOLAPRIL TAB 1MG,9547
68180056701,TRANDOLAPRIL TAB 2MG,25225
68180056801,TRANDOLAPRIL TAB 4MG,44928
68180056907,ARMODAFINIL  TAB 50MG,1
68180057107,ARMODAFINIL  TAB 150MG,33
68180057207,ARMODAFINIL  TAB 200MG,11
68180057307,ARMODAFINIL  TAB 250MG,59
68180058801,RAMIPRIL     CAP 1.25MG,4560
68180058901,RAMIPRIL     CAP 2.5MG,236669
68180058902,RAMIPRIL     CAP 2.5MG,21829
68180058909,RAMIPRIL     CAP 2.5MG,51956
68180059001,RAMIPRIL     CAP 5MG,388373
68180059002,RAMIPRIL     CAP 5MG,52074
68180059009,RAMIPRIL     CAP 5MG,99467
68180059101,RAMIPRIL     CAP 10MG,603772
68180059102,RAMIPRIL     CAP 10MG,100179
68180059109,RAMIPRIL     CAP 10MG,187511
68180059206,DESVENLAFAX  TAB 50MG ER,2931
68180059209,DESVENLAFAX  TAB 50MG ER,119
68180059306,DESVENLAFAX  TAB 100MG ER,2202
68180059309,DESVENLAFAX  TAB 100MG ER,176
68180059607,CELECOXIB    CAP 50MG,81
68180059701,CELECOXIB    CAP 100MG,6371
68180059702,CELECOXIB    CAP 100MG,407
68180059801,CELECOXIB    CAP 200MG,47721
68180059802,CELECOXIB    CAP 200MG,6590
68180059907,CELECOXIB    CAP 400MG,157
68180060207,LAMIVUDINE   TAB 150MG,494
68180060306,LAMIVUDINE   TAB 300MG,218
68180061101,CEFTRIAXONE  INJ 250MG,15
68180061110,CEFTRIAXONE  INJ 250MG,19
68180062201,CEFTRIAXONE  INJ 500MG,5
68180062210,CEFTRIAXONE  INJ 500MG,45
68180063301,CEFTRIAXONE  INJ 1GM,145
68180063310,CEFTRIAXONE  INJ 1GM,2178
68180064401,CEFTRIAXONE  INJ 2GM,1
68180064410,CEFTRIAXONE  INJ 2GM,99
68180064506,PAROXETIN ER TAB 37.5MG,131
68180064606,PAROXETINE   TAB 25MG ER,289
68180064706,PAROXETIN ER TAB 12.5MG,145
68180065001,DOXYCYC MONO CAP 50MG,4405
68180065101,DOXYCYCLINE  CAP 75MG,2008
68180065208,DOXYCYC MONO CAP 100MG,46681
68180065701,DOXYCYCLINE  SUS 25MG/5ML,1705
68180065801,RIFAMPIN     CAP 150MG,4
68180065806,RIFAMPIN     CAP 150MG,1177
68180065906,RIFAMPIN     CAP 300MG,561
68180065907,RIFAMPIN     CAP 300MG,8116
68180069706,TRAMADOL HCL TAB 100MG ER,11334
68180069806,TRAMADOL HCL TAB 200MG ER,9498
68180069906,TRAMADOL HCL TAB 300MG ER,5366
68180071160,CEFDINIR     CAP 300MG,750147
68180072210,CEFDINIR     SUS 125/5ML,55344
68180072220,CEFDINIR     SUS 125/5ML,77816
68180072310,CEFDINIR     SUS 250/5ML,136647
68180072320,CEFDINIR     SUS 250/5ML,323518
68180072509,OLMESA MEDOX TAB 20MG,1
68180075009,AMLODIPINE   TAB 2.5MG,283682
68180075103,AMLODIPINE   TAB 5MG,2348690
68180075109,AMLODIPINE   TAB 5MG,62495
68180075203,AMLODIPINE   TAB 10MG,1760639
68180075209,AMLODIPINE   TAB 10MG,9475
68180075501,AMLOD/BENAZP CAP 2.5-10MG,19453
68180075601,AMLOD/BENAZP CAP 5-10MG,153416
68180075602,AMLOD/BENAZP CAP 5-10MG,35
68180075701,AMLOD/BENAZP CAP 5-20MG,279166
68180075702,AMLOD/BENAZP CAP 5-20MG,306
68180075801,AMLOD/BENAZP CAP 10-20MG,227869
68180075802,AMLOD/BENAZP CAP 10-20MG,173
68180075901,AMLOD/BENAZP CAP 5-40MG,117272
68180076001,AMLOD/BENAZP CAP 10-40MG,266018
68180076406,AMLOD/VALSAR TAB 5-160MG,669
68180076506,AMLOD/VALSAR TAB 10-160MG,309
68180076606,AMLOD/VALSAR TAB 5-320MG,331
68180076706,AMLOD/VALSAR TAB 10-320MG,753
68180077106,AMLOD/VALSAR TAB /HCTZ,3583
68180077109,AMLOD/VALSAR TAB /HCTZ,72
68180077206,AMLOD/VALSAR TAB /HCTZ,1313
68180077209,AMLOD/VALSAR TAB /HCTZ,18
68180077306,AMLOD/VALSAR TAB /HCTZ,2084
68180077309,AMLOD/VALSAR TAB /HCTZ,24
68180077406,AMLOD/VALSAR TAB /HCTZ,1694
68180077409,AMLOD/VALSAR TAB /HCTZ,14
68180077506,AMLOD/VALSAR TAB /HCTZ,9673
68180077509,AMLOD/VALSAR TAB /HCTZ,101
68180077901,ZOLPIDEM ER  TAB 6.25MG,6107
68180078001,ZOLPIDEM ER  TAB 12.5MG,35150
68180079801,POT CHLORIDE CAP 8MEQ ER,885
68180079901,POT CHLORIDE CAP 10MEQ ER,404
68180079902,POT CHLORIDE CAP 10MEQ ER,7585
68180082709,FYAVOLV      TAB 0.5-2.5,32
68180082713,FYAVOLV      TAB 0.5-2.5,169
68180082809,FYAVOLV      TAB 1-5,219
68180082813,FYAVOLV      TAB 1-5,200
68180082913,AMABELZ      TAB 0.5-0.1,980
68180083013,AMABELZ      TAB 1-0.5MG,1062
68180083711,TRI-LO-      TAB MARZIA,67
68180083713,TRI-LO-      TAB MARZIA,9979
68180083813,NORGEST/ETHI TAB ESTRADIO,5960
68180084011,NORGEST/ETHI TAB 0.25/35,2
68180084013,NORGEST/ETHI TAB 0.25/35,2147
68180084311,LEVONOR/ETHI TAB ESTRADIO,61
68180084313,LEVONOR/ETHI TAB ESTRADIO,52034
68180084411,KURVELO      TAB 0.15/30,2
68180084413,KURVELO      TAB 0.15/30,21585
68180084611,DAYSEE       TAB,81
68180084613,DAYSEE       TAB,45796
68180084811,LEVONOR/ETHI TAB ESTRADIO,419
68180084813,LEVONOR/ETHI TAB ESTRADIO,39336
68180085211,MY WAY       TAB 1.5MG,8
68180085212,MY WAY       TAB 1.5MG,1
68180085313,FALLBACK     TAB 1.5MG,367
68180085411,LEVONOR/ETHI TAB 0.1-0.02,78
68180085413,LEVONOR/ETHI TAB 0.1-0.02,132564
68180085713,LEVONOR/ETHI TAB,335
68180086012,FAYOSIM      TAB,59
68180086411,BLISOVI 24   TAB FE 1/20,50
68180086413,BLISOVI 24   TAB FE 1/20,53579
68180086511,BLISOVI FE   TAB 1/20,35
68180086513,BLISOVI FE   TAB 1/20,71200
68180086611,BLISOVI FE   TAB 1.5/30,3
68180086613,BLISOVI FE   TAB 1.5/30,22839
68180087313,WYMZYA FE    CHW 0.4MG-35,969
68180087513,VYFEMLA      TAB 0.4-35,9002
68180087611,NORETHINDRON TAB 0.35MG,298
68180087613,NORETHINDRON TAB 0.35MG,17292
68180087713,JENCYCLA     TAB 0.35MG,9268
68180088013,BEKYREE      TAB,1875
68180088211,ENSKYCE      TAB,6
68180088213,ENSKYCE      TAB,107040
68180088611,NIKKI        TAB 3-0.02MG,276
68180088613,NIKKI        TAB 3-0.02MG,12287
68180089211,PIRMELLA     TAB 7/7/7,3
68180089213,PIRMELLA     TAB 7/7/7,7662
68180089313,PIRMELLA     TAB 1/35,7774
68180089713,WYMZYA FE    CHW 0.4MG-35,5324
68180089811,WYMZYA FE    CHW 0.4MG-35,41
68180089813,WYMZYA FE    CHW 0.4MG-35,25777
68180089913,WYMZYA FE    CHW 0.4MG-35,8564
68180090211,DROSPIR/ETHI TAB 3-0.03MG,42
68180090213,DROSPIR/ETHI TAB 3-0.03MG,99334
68180090313,KAITLIB FE   CHW,1439
68180091111,MIBELAS 24   CHW FE,25
68180091113,MIBELAS 24   CHW FE,7283
68180094601,DESOXIMETAS  OIN 0.25%,1
68180094604,DESOXIMETAS  OIN 0.25%,4
68180094804,DESOXIMETAS  OIN 0.05%,30
68180095001,DESOXIMETAS  CRE 0.25%,1
68180098001,LISINOPRIL   TAB 10MG,586
68180098003,LISINOPRIL   TAB 10MG,84133
68180098101,LISINOPRIL   TAB 20MG,1208
68180098103,LISINOPRIL   TAB 20MG,76749
68180098201,LISINOPRIL   TAB 30MG,1076
68180098202,LISINOPRIL   TAB 30MG,393
68188005003,RONDEC-DM    DRO 3.5-1-3,27
68188005104,RONDEC-DM    SYP,63
68188005116,RONDEC-DM    SYP,140
68188006003,RONDEC       DRO,7
68188006104,RONDEC       SYP,16
68188006116,RONDEC       SYP,9
68188013201,METHYLIN     CHW 2.5MG,197
68188013501,METHYLIN     CHW 5MG,501
68188013701,METHYLIN     CHW 10MG,355
68188048002,ORAPRED ODT  TAB 10MG,893
68188048202,ORAPRED ODT  TAB 15MG,8904
68188048402,ORAPRED ODT  TAB 30MG,1916
68188088150,METHYLIN     SOL 5MG/5ML,535
68188088250,METHYLIN     SOL 10MG/5ML,454
68188093190,LINDANE      SHA 1%,152
68188093590,LINDANE      LOT 1%,195
68209064301,ALBUMIN HUM  INJ 25%,2
68209064302,ALBUMIN HUM  INJ 25%,1
68209084304,OCTAGAM      INJ 10GM,63
68212030060,SOURCECF     DRO PEDIATRC,1
68212050060,SOURCECF     CAP,24
68212060090,SOURCECF     CHW,11
68220001890,FOLPACE RX   TAB,501
68220002207,SFROWASA     ENE 4GM,596
68220002228,SFROWASA     ENE 4GM,414
68220005510,ANADROL-50   TAB 50MG,991
68220006603,ROWASA       KIT 4GM,340
68220006605,ROWASA       KIT 4GM,399
68220006607,ROWASA       ENE 4GM,422
68220006628,ROWASA       ENE 4GM,59
68220008330,PREFERA OB   MIS + DHA,19167
68220008490,PREFERA OB   TAB,6469
68220008590,BIFERARX     TAB,4510
68220008630,PREFERAOB    CAP ONE,16014
68220008825,PREFERA OB   TAB,3
68220008890,PREFERA OB   TAB,10550
68220008930,PREFERA OB   MIS + DHA,6677
68220009090,CALAFOL RX   TAB,13
68220009990,CALAFOL RX   TAB,192
68220011105,LEVSIN       INJ 0.5MG/ML,3
68220011210,LEVSIN       TAB 0.125MG,4021
68220011250,LEVSIN       TAB 0.125MG,8
68220011310,LEVSIN/SL    SUB 0.125MG,5042
68220011350,LEVSIN/SL    SUB 0.125MG,1
68220011510,LEVBID       TAB 0.375 ER,4221
68220011550,LEVBID       TAB 0.375 ER,2
68220011810,NULEV        TAB 0.125MG,640
68220013004,COLYTE/FLAVR SOL PACKS,7537
68220013104,TRILYTE      SOL,65801
68220013301,COLYTE/FLAVR SOL PACKS,5154
68220014015,CORTIFOAM    AER 90MG,9322
68220014130,PROCTOCREAM  CRE HC 2.5%,528
68220014210,PROCTOFOAM   AER HC 1%,74137
68220014315,PROCTOFOAM   AER NS 1%,16
68220014410,EPIFOAM      AER 1%,3216
68220015010,REGLAN       TAB 5MG,98
68220015110,REGLAN       TAB 10MG,291
68220016010,DIPENTUM     CAP 250MG,3525
68249020010,HUMIBID LA   TAB 600-300,18
68258100601,CEPHALEXIN   CAP 250MG,1
68258101601,METFORMIN    TAB 500MG,2
68258101901,NIFEDIPINE   TAB 30MG ER,1
68258102101,NIFEDIPINE   TAB 90MG ER,2
68258103101,DEPAKOTE ER  TAB 500MG,1
68258104001,LIPITOR      TAB 20MG,12
68258106801,HYDROXYZ HCL TAB 25MG,1
68258107901,CIPROFLOXACN TAB 500MG,2
68258108101,PREVACID     CAP 30MG DR,6
68258108301,METOPROL TAR TAB 100MG,4
68258198503,REYATAZ      CAP 300MG,9
68258199801,MEBENDAZOLE  CHW 100MG,1
68258301104,PROMETHAZINE SUP 25MG,1
68258301603,LIDODERM     DIS 5%,80
68258303101,ADVAIR DISKU AER 250/50,5
68258303303,SINGULAIR    TAB 10MG,2
68258303701,VENTOLIN HFA AER,1
68258303706,VENTOLIN HFA AER,19
68258304001,FENTANYL     DIS 12MCG/HR,1
68258304301,FLUTICASONE  SPR 50MCG,28
68258305301,CEFDINIR     SUS 250/5ML,1
68258397801,TRIAMCINOLON OIN 0.5%,1
68258398603,PREMARIN VAG CRE 0.625MG,9
68258399003,NYSTATIN     OIN 100000,9
68258399404,ESTRACE VAG  CRE 0.1MG/GM,33
68258499204,RANITIDINE   SYP 15MG/ML,1
68258499903,NEXIUM       CAP 40MG,5
68258594902,JOLIVETTE    TAB 0.35MG,9
68258596302,AVIANE       TAB,9
68258597209,SYNTHROID    TAB 88MCG,1
68258597309,SYNTHROID    TAB 25MCG,1
68258597708,VAGIFEM      TAB 10MCG,21
68258598209,LOVAZA       CAP 1GM,33
68258600009,LIPITOR      TAB 10MG,2
68258600109,LIPITOR      TAB 20MG,3
68258600209,LIPITOR      TAB 40MG,3
68258600603,PLAVIX       TAB 75MG,7
68258601001,PROPRANOLOL  TAB 20MG,1
68258601603,CRESTOR      TAB 10MG,18
68258601703,CRESTOR      TAB 5MG,8
68258601809,METOPROLOL   TAB 25MG ER,3
68258601909,METOPROLOL   TAB 50MG ER,21
68258602803,QUINAPRIL    TAB 40MG,1
68258603309,METOPROL TAR TAB 25MG,1
68258604403,ATORVASTATIN TAB 80MG,15
68258609503,VALSART/HCTZ TAB 160-12.5,9
68258609803,VALSART/HCTZ TAB 320-25MG,10
68258609909,DOXAZOSIN    TAB 1MG,1
68258698303,CRESTOR      TAB 40MG,1
68258698403,VYTORIN      TAB 10-40MG,5
68258699503,BENICAR      TAB 40MG,9
68258701003,SERTRALINE   TAB 25MG,1
68258701306,CYCLOBENZAPR TAB 5MG,1
68258706204,NICOTINE TD  DIS 21MG/24H,11
68258706505,CHANTIX      PAK 0.5& 1MG,1
68258708103,CITALOPRAM   TAB 10MG,1
68258710501,DIVALPROEX   TAB 250MG ER,1
68258710906,VENLAFAXINE  TAB 75MG,3
68258710909,VENLAFAXINE  TAB 75MG,2
68258711601,VENLAFAXINE  CAP 75MG ER,1
68258712703,ESCITALOPRAM TAB 5MG,10
68258712803,ESCITALOPRAM TAB 10MG,3
68258712903,ESCITALOPRAM TAB 20MG,6
68258799701,NICOTINE     DIS 7MG/24HR,10
68258799801,NICOTINE     DIS 14MG/24H,11
68258799901,NICOTINE     DIS 21MG/24H,7
68258891306,FLOVENT DISK AER 100MCG,2
68258892205,BUDESONIDE   SUS 0.5MG/2,3
68258893603,SPIRIVA      CAP HANDIHLR,1
68258894802,BYETTA       INJ 10MCG,3
68258894901,DIPHENHYDRAM INJ 50MG/ML,4
68258896408,QVAR         AER 40MCG,1
68258897005,ADACEL       INJ,2
68258897406,PROVENTIL    AER HFA,1
68258897602,XALATAN      SOL 0.005%,6
68258899101,MIDAZOLAM    INJ 2MG/2ML,8
68258899205,TOBRA/DEXAME SUS 0.3-0.1%,16
68258900301,VIREAD       TAB 300MG,22
68258900401,COREG        TAB 12.5MG,5
68258900601,COREG        TAB 3.125MG,4
68258901901,LEVOTHYROXIN TAB 88MCG,2
68258902201,AGGRENOX     CAP 25-200MG,4
68258903001,CALCITRIOL   CAP 0.5MCG,8
68258903501,ARIMIDEX     TAB 1MG,6
68258903601,XELODA       TAB 500MG,2
68258903701,BETAXOLOL    TAB 10MG,3
68258904001,HYDROXYUREA  CAP 500MG,8
68258904401,TOPAMAX      TAB 100MG,1
68258904601,KEPPRA       TAB 250MG,9
68258904701,KEPPRA       TAB 500MG,2
68258904901,ABILIFY      TAB 30MG,4
68258905301,HYDRALAZINE  TAB 25MG,1
68258905701,PANGES CN 10 CAP,1
68258906801,MEPHYTON     TAB 5MG,2
68258907001,RENAGEL      TAB 400MG,6
68258907301,CELLCEPT     CAP 250MG,1
68258908301,VITAMIN D    CAP 50000UNT,19
68258908401,ZETIA        TAB 10MG,7
68258908601,SULFASALAZIN TAB 500MG,2
68258908701,PREMARIN     TAB 0.3MG,5
68258909101,DAPSONE      TAB 25MG,1
68258909201,DAPSONE      TAB 100MG,1
68258909901,PROGRAF      CAP 0.5MG,10
68258910501,PHOSLO       CAP 667MG,6
68258910601,FLOMAX       CAP 0.4MG,7
68258910701,EPIVIR HBV   TAB 100MG,2
68258911101,RENA-VITE    TAB,3
68258912501,PRIMAQUINE   TAB 26.3MG,3
68258912701,LAMICTAL     TAB 25MG,3
68258912901,ASACOL       TAB 400MG DR,14
68258914001,VALCYTE      TAB 450MG,6
68258914301,VFEND        TAB 200MG,7
68258914501,LAMICTAL     TAB 150MG,3
68258915001,METOPROL TAR TAB 25MG,5
68258915101,ACTOS        TAB 30MG,1
68258915201,ACTOS        TAB 45MG,2
68258915301,VIOKASE 8    TAB,1
68258915401,LIPITOR      TAB 40MG,5
68308002003,OXYCODONE    CON 100/5ML,342
68308010801,OXYCODONE    TAB 5MG,2103
68308011101,OXYCODONE    TAB 15MG,3716
68308011201,OXYCODONE    TAB 30MG,3499
68308011501,METHAMPHETAM TAB 5MG,530
68308012204,BEN-TANN     SUS 25MG/5ML,141
68308012604,D-TANN       SUS 25-7.5MG,368
68308013004,D-TANN CT    SUS,333
68308013404,D-TANN HC    SUS,59
68308013604,D-TANN AT    SUS,176
68308013804,D-TANN DM    SUS,516
68308014004,D-TANN CD    SUS 15-25-30,126
68308014501,OXYCODONE    CAP 5MG,15792
68308014510,OXYCODONE    CAP 5MG,349
68308015090,L-METHYLFOLA TAB 15MG,61
68308015215,NYSTATIN     POW 100000,41083
68308015230,NYSTATIN     POW 100000,38243
68308015260,NYSTATIN     POW 100000,35887
68308016030,FOLTABS      PAK PLUS DHA,7739
68308016090,FOLTABS      TAB PRENATAL,50
68308016590,FOLTABS      TAB PRENATAL,4168
68308016730,FOLCAPS CARE CAP ONE,768
68308016930,FOLCAPS      CAP OMEGA 3,234
68308017410,D-PHEN 1000  TAB,70
68308018010,D-HIST D     TAB,3977
68308019030,FOLTABS 90   PAK PLUS DHA,1380
68308020830,BUPRENORPHIN SUB 8MG,65
68308021901,ESGIC        CAP,648
68308022001,ESGIC        TAB,201
68308025010,ERYTHROMYCIN CAP 250MG EC,1182
68308026930,FOLCAPS      CAP OMEGA 3,1779
68308030016,NAZARIN      LIQ,63
68308031016,NAZARIN HC   LIQ,9
68308031210,BUT/ASA/CAF/ CAP COD 30MG,10
68308032410,FOLCAPS      TAB,4951
68308032560,FOLTABS 800  TAB,33
68308032610,FABB         TAB,39068
68308035030,FOLCAL DHA   CAP,1324
68308035230,FOLCAL DHA   CAP,3472
68308036030,VITANATAL OB MIS PLUS DHA,587
68308038130,PREVITE RX   TAB,15
68308040547,OXYCOD/APAP  TAB 5-325MG,850
68308041016,P-TANN       SUS 8MG/5ML,17
68308041216,P-TANN D     SUS,17
68308044090,FEMECAL OB   TAB,11
68308047547,OXYCOD/APAP  TAB 7.5-325,24
68308048047,OXYCOD/APAP  TAB 10-325MG,32
68308050060,MI-OMEGA     CAP,160
68308050260,MI-OMEGA NF  CAP,1014
68308050547,OXYCODONE    TAB 5MG,133
68308051610,FA/B12/B6    TAB,3418
68308052660,D-TANN       CHW 25-10MG,195
68308055410,ZEBUTAL      CAP,444
68308067530,P-HIST DM    DRO,184
68308067716,P-HIST       SYP,158
68308071010,DOXYCYCL HYC TAB 100MG DR,2249
68308071510,DOXYCYCL HYC TAB 150MG DR,2154
68308071660,DOXYCYCL HYC TAB 200MG DR,1849
68308072904,EXRATUSS     SUS,1
68308073516,DUR-TANN DM  SUS,2
68308073716,DUR-TANN     SUS FORTE,16
68308075560,D-TANN CT    TAB,1266
68308077560,DOXYCYCL HYC TAB 75MG DR,474
68308078090,FOLAMIN      TAB,1175
68308082210,RY-TANN      TAB 9-25MG,56
68308082404,L-ALL 12 NF  SUS 25-30MG,77
68308083010,DIACETAZONE  CAP,1317
68308084001,OXYCOD/APAP  TAB 2.5-325,307
68308084101,OXYCOD/APAP  TAB 5-325MG,16056
68308084201,OXYCOD/APAP  TAB 7.5-325,1370
68308084301,OXYCOD/APAP  TAB 10-325MG,7631
68308084501,OXYCOD/ASA   TAB,594
68308091060,IRON CHEWS   CHW PEDIATRI,64
68308092204,B-VEX        SUS 12MG/5ML,222
68308092404,L-ALL 12     SUS,51
68308092604,B-VEX D      SUS,323
68308093016,B-VEX PD     SUS,11
68322000101,FAZACLO      TAB 25MG,27
68322000102,FAZACLO      TAB 25MG,202
68322000104,FAZACLO      TAB 25MG,68
68322000202,FAZACLO      TAB 100MG,513
68322000204,FAZACLO      TAB 100MG,114
68330000101,CEFTRIAXONE  INJ 250MG,34
68330000110,CEFTRIAXONE  INJ 250MG,6
68330000201,CEFTRIAXONE  INJ 500MG,23
68330000210,CEFTRIAXONE  INJ 500MG,23
68330000301,CEFTRIAXONE  INJ 1GM,356
68330000310,CEFTRIAXONE  INJ 1GM,211
68330000401,CEFTRIAXONE  INJ 2GM,11
68330000410,CEFTRIAXONE  INJ 2GM,8
68330000501,CEFTRIAXONE  INJ 1GM,33
68330000601,CEFTRIAXONE  INJ 2GM,3
68382000101,PAROXETINE   TAB 40MG,679
68382000105,PAROXETINE   TAB 40MG,211571
68382000106,PAROXETINE   TAB 40MG,189309
68382000110,PAROXETINE   TAB 40MG,36
68382000116,PAROXETINE   TAB 40MG,62930
68382000301,AZATHIOPRINE TAB 50MG,121092
68382000305,AZATHIOPRINE TAB 50MG,554
68382000414,TOPIRAMATE   CAP 15MG,17431
68382000514,TOPIRAMATE   CAP 25MG,17787
68382000601,LAMOTRIGINE  TAB 25MG,125540
68382000610,LAMOTRIGINE  TAB 25MG,14542
68382000801,LAMOTRIGINE  TAB 100MG,280998
68382000805,LAMOTRIGINE  TAB 100MG,53
68382000810,LAMOTRIGINE  TAB 100MG,37281
68382000905,LAMOTRIGINE  TAB 150MG,9974
68382000914,LAMOTRIGINE  TAB 150MG,145559
68382001005,LAMOTRIGINE  TAB 200MG,34896
68382001014,LAMOTRIGINE  TAB 200MG,258913
68382001501,LEVOFLOXACIN TAB 250MG,4
68382001518,LEVOFLOXACIN TAB 250MG,36240
68382001601,LEVOFLOXACIN TAB 500MG,586448
68382001618,LEVOFLOXACIN TAB 500MG,91759
68382001701,LEVOFLOXACIN TAB 750MG,119231
68382001718,LEVOFLOXACIN TAB 750MG,27887
68382001801,VENLAFAXINE  TAB 25MG,11557
68382001901,VENLAFAXINE  TAB 37.5MG,65168
68382001910,VENLAFAXINE  TAB 37.5MG,12
68382002001,VENLAFAXINE  TAB 50MG,12252
68382002010,VENLAFAXINE  TAB 50MG,4
68382002101,VENLAFAXINE  TAB 75MG,140325
68382002110,VENLAFAXINE  TAB 75MG,2
68382002201,ATENOLOL     TAB 25MG,42314
68382002210,ATENOLOL     TAB 25MG,973682
68382002301,ATENOLOL     TAB 50MG,25588
68382002310,ATENOLOL     TAB 50MG,495310
68382002401,ATENOLOL     TAB 100MG,23739
68382002410,ATENOLOL     TAB 100MG,132720
68382002705,METFORMIN    TAB 500MG ER,92
68382002801,METFORMIN    TAB 500MG,56581
68382002805,METFORMIN    TAB 500MG,215839
68382002810,METFORMIN    TAB 500MG,1828945
68382002901,METFORMIN    TAB 850MG,51511
68382002905,METFORMIN    TAB 850MG,131580
68382002910,METFORMIN    TAB 850MG,50695
68382003001,METFORMIN    TAB 1000MG,90314
68382003005,METFORMIN    TAB 1000MG,193387
68382003010,METFORMIN    TAB 1000MG,1086106
68382003101,DIVALPROEX   TAB 125MG DR,19316
68382003201,DIVALPROEX   TAB 250MG DR,13309
68382003205,DIVALPROEX   TAB 250MG DR,86434
68382003301,DIVALPROEX   TAB 500MG DR,14281
68382003305,DIVALPROEX   TAB 500MG DR,113017
68382003406,VENLAFAXINE  CAP 37.5MG,56774
68382003410,VENLAFAXINE  CAP 37.5 ER,3230
68382003416,VENLAFAXINE  CAP 37.5 ER,28027
68382003506,VENLAFAXINE  CAP 75MG ER,134348
68382003510,VENLAFAXINE  CAP 75MG ER,27171
68382003516,VENLAFAXINE  CAP 75MG ER,86924
68382003606,VENLAFAXINE  CAP 150MG ER,176776
68382003610,VENLAFAXINE  CAP 150MG ER,33379
68382003616,VENLAFAXINE  CAP 150MG ER,101801
68382003905,METFORMIN    TAB 750MG ER,79
68382004001,PROMETHAZINE TAB 12.5MG,114525
68382004010,PROMETHAZINE TAB 12.5MG,12
68382004101,PROMETHAZINE TAB 25MG,413597
68382004110,PROMETHAZINE TAB 25MG,60342
68382004201,PROMETHAZINE TAB 50MG,9672
68382004210,PROMETHAZINE TAB 50MG,9
68382004603,RIBAVIRIN    TAB 200MG,9871
68382004610,RIBAVIRIN    TAB 200MG,1
68382004628,RIBAVIRIN    TAB 200MG,1
68382005001,MELOXICAM    TAB 7.5MG,242730
68382005005,MELOXICAM    TAB 7.5MG,212834
68382005016,MELOXICAM    TAB 7.5MG,40
68382005101,MELOXICAM    TAB 15MG,339011
68382005105,MELOXICAM    TAB 15MG,434740
68382005116,MELOXICAM    TAB 15MG,25
68382005201,WARFARIN     TAB 1MG,91752
68382005210,WARFARIN     TAB 1MG,71872
68382005301,WARFARIN     TAB 2MG,88698
68382005310,WARFARIN     TAB 2MG,84222
68382005401,WARFARIN     TAB 3MG,79308
68382005410,WARFARIN     TAB 3MG,58135
68382005501,WARFARIN     TAB 4MG,85776
68382005510,WARFARIN     TAB 4MG,56639
68382005601,WARFARIN     TAB 5MG,316173
68382005610,WARFARIN     TAB 5MG,203278
68382005616,WARFARIN     TAB 5MG,131681
68382005701,WARFARIN     TAB 6MG,59656
68382005801,WARFARIN     TAB 7.5MG,59576
68382005901,WARFARIN     TAB 10MG,49133
68382006401,WARFARIN     TAB 2.5MG,74546
68382006410,WARFARIN     TAB 2.5MG,75089
68382006505,SIMVASTATIN  TAB 5MG,90
68382006506,SIMVASTATIN  TAB 5MG,8
68382006510,SIMVASTATIN  TAB 5MG,2284
68382006516,SIMVASTATIN  TAB 5MG,23718
68382006605,SIMVASTATIN  TAB 10MG,53524
68382006606,SIMVASTATIN  TAB 10MG,121
68382006610,SIMVASTATIN  TAB 10MG,67266
68382006614,SIMVASTATIN  TAB 10MG,7
68382006616,SIMVASTATIN  TAB 10MG,112658
68382006624,SIMVASTATIN  TAB 10MG,117
68382006705,SIMVASTATIN  TAB 20MG,214605
68382006706,SIMVASTATIN  TAB 20MG,173
68382006710,SIMVASTATIN  TAB 20MG,483745
68382006714,SIMVASTATIN  TAB 20MG,21
68382006716,SIMVASTATIN  TAB 20MG,100487
68382006724,SIMVASTATIN  TAB 20MG,97
68382006805,SIMVASTATIN  TAB 40MG,186199
68382006806,SIMVASTATIN  TAB 40MG,166
68382006810,SIMVASTATIN  TAB 40MG,416473
68382006814,SIMVASTATIN  TAB 40MG,39
68382006816,SIMVASTATIN  TAB 40MG,84796
68382006840,SIMVASTATIN  TAB 40MG,38
68382006905,SIMVASTATIN  TAB 80MG,24872
68382006906,SIMVASTATIN  TAB 80MG,126
68382006910,SIMVASTATIN  TAB 80MG,17075
68382006914,SIMVASTATIN  TAB 80MG,15
68382006916,SIMVASTATIN  TAB 80MG,50541
68382007005,PRAVASTATIN  TAB 10MG,1720
68382007016,PRAVASTATIN  TAB 10MG,19986
68382007105,PRAVASTATIN  TAB 20MG,42811
68382007116,PRAVASTATIN  TAB 20MG,43184
68382007205,PRAVASTATIN  TAB 40MG,70274
68382007216,PRAVASTATIN  TAB 40MG,50949
68382007305,PRAVASTATIN  TAB 80MG,32990
68382007316,PRAVASTATIN  TAB 80MG,39052
68382007716,FENOFIBRIC   CAP 45MG DR,6545
68382007816,FENOFIBRIC   CAP 135MG DR,61536
68382007901,HALOPERIDOL  TAB 5MG,7111
68382007910,HALOPERIDOL  TAB 5MG,5211
